difference,edges,l
25.25,0.0,1
24.25,0.0,1
23.25,0.0,1
22.25,0.0,1
21.25,0.0,1
20.25,0.0,1
19.25,0.0,1
18.25,0.0,1
17.25,0.0,1
16.25,0.0,1
15.25,0.0,1
14.25,8.0e-5,1
13.25,0.0002,1
12.25,0.00092,1
11.25,0.004,1
10.25,0.01072,1
9.25,0.03224,1
8.25,0.05776,1
7.25,0.1128,1
6.25,0.16232,1
5.25,0.1964,1
4.25,0.18896,1
3.25,0.13472,1
2.25,0.07044,1
1.25,0.02396,1
0.25,0.00448,1
24.75,0.0,8
23.75,0.0,8
22.75,0.0,8
21.75,2.0e-5,8
20.75,0.00024,8
19.75,0.00084,8
18.75,0.00276,8
17.75,0.00826,8
16.75,0.01918,8
15.75,0.03478,8
14.75,0.05454,8
13.75,0.07806,8
12.75,0.09106,8
11.75,0.09144,8
10.75,0.08102,8
9.75,0.06002,8
8.75,0.03822,8
7.75,0.02276,8
6.75,0.01624,8
5.75,0.01794,8
4.75,0.03074,8
3.75,0.05294,8
2.75,0.07954,8
1.75,0.09772,8
0.75,0.08466,8
-0.25,0.03702,8
